,situacao_ocupacao,total_avaliacao,bairro,denominacao,afetacao,numero_dossie,municipio,id_municipio,id_situacao,id_bairro,id_denominacao
72,DESATIVADO,"15.060,23",POVOADO,ANTIGO POSTO DE SAÚDE SÃO JOSÉ,,3773,CANAPÍ,26,5,20,61
73,DESATIVADO,"681.441,33",CHÃ DE BEBEDOURO,ANTIGO SOPROBEM - ANTIGA FÁBRICA DE SOPA,,319,MACEIÓ,6,5,31,62
74,DESOCUPADO,"57.712,52",-,ANTIGO-2º DISTRITO POLICIAL,,4086,CHÃ PRETA,2,4,10,63
75,DESOCUPADO,"445.272,15",PONTA VERDE,"APARTAMENTO Nº 601, EDIFÍCIO CATALUÑA",,222,MACEIÓ,6,4,32,64
76,OCUPADO,"56.239,91",POVOADO,ÁREA DA CAIXA DE QUEBRA DE PRESSÃO,,4218,DELMIRO GOUVEIA,1,1,20,65
77,OCUPADO,"19.240,00",SITIO,AREA DA ESTAÇÃO DE TRATAMENTO DE ÁGUA,,4222,BELO MONTE,23,1,33,66
78,OCUPADO,"20.151,53",SÍTIO,AREA DO BOOSTER - CASAL,,4195,IGACI,28,1,34,67
79,OCUPADO,"30.193,39",FAZENDA LAGOA GRANDE,ÁREA DO BOOSTER - CASAL,,4197,BATALHA,4,1,35,68
80,OCUPADO,"20.043,96",CENTRO,ARMAZÉM - SEFAZ,,3466,ARAPIRACA,11,1,1,69
81,OCUPADO,"105.158,54",CENTRO,ASSOCIAÇÃO DOS ESCRIVÃES DA POLÍCIA - AEPOL - ANTIGO SINDICATO DA POLÍCIA CIVIL - SINDPOL,,10,MACEIÓ,6,1,1,70
82,OCUPADO,"379.597,65",LEVADA,ASSOCIAÇÃO DOS SERVIDORES DA EDUCAÇÃO DO ESTADO DE ALAGOAS - ASSEDUC,,102,MACEIÓ,6,1,6,71
83,OCUPADO,"272.841,22",ELDORADO,ASSOCIAÇÃO DOS SERVIDORES DA GERES - CASAL,,4234,DELMIRO GOUVEIA,1,1,36,72
84,OCUPADO,"53.607,04",CENTRO,ASSOCIAÇÃO DOS SERVIDORES INATIVOS DO FISCO DO ESTADO DE ALAGOAS,,355,MACEIÓ,6,1,1,73
85,OCUPADO,"3.951,48",POVOADO CANAÃ,ASSOCIAÇÃO E CENTRO COMUNITÁRIO JOSÉ AVELINO FILHO-ANTIGA UNIDADE BASICA CANÃA,,3507,ARAPIRACA,11,1,37,74
86,OCUPADO,"38.792,58",-,BARRAGEM,,4073,COITÉ DO NÓIA,29,1,10,75
87,OCUPADO,"34.692,12",VILA BANANEIRA,BARRAGEM,,4255,ARAPIRACA,11,1,38,75
88,OCUPADO,"38.274,76",FAZENDA,BARRAGEM - CASAL,,4081,JUNDIÁ,13,1,28,76
89,OCUPADO,"566.159,78",CLIMA BOM,BATALHÃO DA POLÍCIA AMBIENTAL CORONEL QOC PM NILTON ROCHA,,70,MACEIÓ,6,1,39,77
90,OCUPADO,"238.174,06",FAROL,BATALHÃO DE POLÍCIA ESCOLAR - ANTIGA RÁDIO DIFUSORA DE ALAGOAS,,199,MACEIÓ,6,1,9,78
91,OCUPADO,"748.633,29",CENTRO,BIBLIOTECA PÚBLICA,,275,MACEIÓ,6,1,1,79
92,OCUPADO,"219.850,02",TRAPICHE DA BARRA,BPTRAN - BATALHÃO DE POLÍCIA DE TRÂNSITO - ANTIGO ALOJAMENTO DOS ASPIRANTES,,353,MACEIÓ,6,1,5,80
93,OCUPADO,"64.259,75",CRAÍBAS,CAIXA DE PASSAGEM,,4090,ARAPIRACA,11,1,40,81
94,OCUPADO,"8.120,79",SÍTIO,CAIXA DE QUEBRA DE PRESSÃO,,4277,INHAPÍ,30,1,34,82
95,OCUPADO,"5.715,15",POVOADO BAIXA DO MILHO,CAIXA DE QUEBRA DE PRESSÃO C.Q.P.,,4281,CANAPÍ,26,1,41,83
96,OCUPADO,"3.665.243,76",RODOVIA,CANAL DO SERTÃO,,5336,DELMIRO GOUVEIA,1,1,17,84
97,OCUPADO,"284.383,28",RODOVIA,CANAL DO SERTÃO,,5337,DELMIRO GOUVEIA,1,1,17,84
98,OCUPADO,"877.022,28",RODOVIA,CANAL DO SERTÃO,,5338,DELMIRO GOUVEIA,1,1,17,84
99,OCUPADO,"408.612,65",RODOVIA,CANAL DO SERTÃO,,5339,DELMIRO GOUVEIA,1,1,17,84
